kind,type,precision,recall,f1,gold,pred,correct
entity,disease,0.796281951975213,0.8573811509591326,0.8257028112449799,1199,1291,1028
entity,drug,0.6847599164926931,0.6762886597938145,0.6804979253112033,485,479,328
entity,gene,0.6528384279475983,0.7364532019704434,0.6921296296296297,812,916,598
entity,method,0.44798301486199577,0.5197044334975369,0.4811858608893957,406,471,211
entity,mutation,0.6031746031746031,0.8260869565217391,0.6972477064220184,46,63,38
entity,other,0.3130841121495327,0.3333333333333333,0.3228915662650602,201,214,67
entity,OVERALL,0.6610366919044846,0.7208637662750079,0.689655172413793,3149,3434,2270
relation,abbreviation_for,0.6130952380952381,0.7686567164179104,0.6821192052980133,268,336,206
relation,associated_with,0.12962962962962962,0.13043478260869565,0.13003095975232198,161,162,21
relation,characteristic_of,0.36363636363636365,0.16666666666666666,0.2285714285714286,48,22,8
relation,help_diagnose,0.23684210526315788,0.17307692307692307,0.19999999999999998,52,38,9
relation,hyponym_of,0.29927007299270075,0.44086021505376344,0.3565217391304348,93,137,41
relation,risk_factor_of,0.21212121212121213,0.23728813559322035,0.224,59,66,14
relation,treatment_for,0.24778761061946902,0.35443037974683544,0.29166666666666663,79,113,28
relation,treatment_target_for,0.0,0.0,0.0,9,3,0
relation,OVERALL,0.3728620296465222,0.42522756827048114,0.3973268529769138,769,877,327
